combo,k,dates,picks,edge,win,p
in_fvg + q_stable + far_fomc,3,79,21.11392405063291,-0.0041567797171803405,54.43037974683544,0.994
at_support + calm_vix + far_fomc,3,46,101.04347826086956,-0.00852019993817605,41.30434782608695,0.94
calm_vix,1,51,350.0,-0.008668678096513175,45.09803921568628,0.508
scared_vix + far_fomc,2,45,350.0,-0.011263649647801086,46.666666666666664,0.426
far_fomc,1,91,350.0,-0.011789331361891885,46.15384615384615,0.271
mom_top30 + scared_vix + far_fomc,3,45,106.0,-0.012437318351758153,60.0,1.0
q_stable + mom_bot30 + calm_vix,3,36,14.5,-0.01464574881442752,55.55555555555556,1.0
at_support + q_stable + scared_vix,3,54,43.98148148148148,-0.016817938603684333,50.0,0.969
in_fvg + q_stable + market_up,3,83,20.06024096385542,-0.026672924627190488,57.831325301204814,0.943
q_uptrend + market_up,2,93,264.0967741935484,-0.02686175360444255,53.76344086021505,0.855
at_support + far_fomc,2,91,108.07692307692308,-0.029229816915704115,43.956043956043956,0.867
mom_bot30 + scared_vix + market_up,3,42,105.0,-0.030276098655763067,42.857142857142854,0.931
at_support + mom_bot30 + scared_vix,3,54,45.407407407407405,-0.03417324999458671,42.592592592592595,0.91
q_uptrend + market_up + far_fomc,3,83,263.71084337349396,-0.035338774426954454,49.39759036144578,0.813
mom_bot30,1,105,105.0,-0.037954105615272446,46.666666666666664,0.859
at_support + in_fvg + market_up,3,81,12.851851851851851,-0.03806762268200297,45.67901234567901,0.914
in_fvg + scared_vix + far_fomc,3,41,51.073170731707314,-0.044777718680894606,51.21951219512195,0.929
at_support + market_up + far_fomc,3,83,105.21686746987952,-0.04489124497870257,45.78313253012048,0.77
at_support + market_up,2,93,103.74193548387096,-0.047317466707159014,45.16129032258064,0.736
at_support + q_uptrend,2,104,57.90384615384615,-0.05140283135291306,46.15384615384615,0.787
q_uptrend,1,105,248.03809523809525,-0.054669284913304306,49.523809523809526,0.709
q_uptrend + mom_bot30 + calm_vix,3,51,43.254901960784316,-0.056129533660744274,41.17647058823529,0.866
at_support,1,105,106.53333333333333,-0.060311901042704015,47.61904761904761,0.74
mom_bot30 + far_fomc,2,91,105.0,-0.06828485059610462,43.956043956043956,0.75
at_support + scared_vix + far_fomc,3,45,115.26666666666667,-0.07764227255158528,48.888888888888886,0.691
in_fvg + mom_bot30,2,85,13.694117647058823,-0.08096702072528207,50.588235294117645,0.85
q_uptrend + scared_vix + market_up,3,42,242.64285714285714,-0.08924342922693686,52.38095238095239,0.754
at_support + q_uptrend + far_fomc,3,91,59.043956043956044,-0.09677374769033711,46.15384615384615,0.65
in_fvg + mom_bot30 + far_fomc,3,73,13.32876712328767,-0.10226450010294985,52.054794520547944,0.82
q_stable + mom_top30 + scared_vix,3,54,88.27777777777777,-0.10717451950860521,59.25925925925925,0.836
