signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom63,10,above200,,,equal,105,6.987980061267993,4.236315033867098,2.7516650274008954,66.66666666666666,-11.419248961639674,
mom63,10,above50,,spy_up,equal,93,6.308616268670959,3.634754009647757,2.673862259023201,65.59139784946237,-11.419248961639674,
mom126_s21,10,above200,,spy_up,invvol,93,6.305190379440427,3.634754009647757,2.6704363697926716,68.81720430107528,-19.522186672750582,
mom63,10,,,spy_up,equal,93,6.287890974044502,3.634754009647757,2.6531369643967433,64.51612903225806,-11.419248961639674,
mom126_s21,10,above50,,,equal,105,6.835379988431392,4.236315033867098,2.5990649545642954,61.904761904761905,-16.852757928331517,
blend,10,above200,,spy_up,equal,93,6.218923913002039,3.634754009647757,2.5841699033542826,62.365591397849464,-13.258944285291674,
blend,10,,,spy_up,equal,93,6.218923913002039,3.634754009647757,2.5841699033542826,62.365591397849464,-13.258944285291674,
blend,10,,,,equal,105,6.790945192221713,4.236315033867098,2.554630158354615,62.857142857142854,-13.258944285291674,
blend,10,above200,,,equal,105,6.790945192221713,4.236315033867098,2.554630158354615,62.857142857142854,-13.258944285291674,
mom126,10,,,spy_up,invvol,93,6.16209390977429,3.634754009647757,2.527339900126533,66.66666666666666,-15.02684379839655,
mom63,10,,,,equal,105,6.718836987237483,4.236315033867098,2.482521953370386,64.76190476190476,-11.419248961639674,
mom126,10,above200,,spy_up,invvol,93,6.079497168899459,3.634754009647757,2.444743159251701,66.66666666666666,-15.02684379839655,
mom126_s21,10,,,,invvol,105,6.626732316180667,4.236315033867098,2.3904172823135688,62.857142857142854,-19.522186672750582,
mom63,10,above50,,,equal,105,6.622115165254824,4.236315033867098,2.3858001313877257,63.8095238095238,-11.419248961639674,
blend,10,above50,,spy_up,equal,93,5.984610588697727,3.634754009647757,2.34985657904997,62.365591397849464,-13.258944285291674,
mom126,10,,,,invvol,105,6.559619326767899,4.236315033867098,2.3233042929008003,63.8095238095238,-15.02684379839655,
mom126_s21,10,above200,,,invvol,105,6.5521192986281935,4.236315033867098,2.3158042647610966,65.71428571428571,-19.522186672750582,
mom189,10,above50,,spy_up,equal,93,5.930509556953243,3.634754009647757,2.295755547305487,62.365591397849464,-9.993039880877898,
blend,10,above50,,,equal,105,6.524999654599845,4.236315033867098,2.288684620732747,61.904761904761905,-13.258944285291674,
